,phrase,label,sentiment,subjectivity,language,count
…,…,MISC,1.6506172839506181,1.280246913580247,de,950
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,522
deutschen,deutschen,MISC,,,de-DE,450
russischen,russischen,MISC,,,de-DE,326
deutsche,deutsche,MISC,,,de,301
n-tv,n-tv,MISC,,,de,269
\u00fcberall.,\u00fcberall.,MISC,,,de,269
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,214
russische,russische,MISC,,,de-DE,199
ukrainische,ukrainische,MISC,,,de,150
ukrainischen,ukrainischen,MISC,,,de,122
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,117
russisches,russisches,MISC,,,de,112
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,109
Deutschen,Deutschen,MISC,,,de,92
europäischen,europäischen,MISC,,,de,86
Berliner,Berliner,MISC,,,de-DE,79
russischer,russischer,MISC,,,de,76
Deutsche,Deutsche,MISC,,,de,73
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,73
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,68
LNG-Terminal,LNG-Terminal,MISC,-6.416666666666668,1.6,de,67
britische,britische,MISC,,,de,66
europäische,europäische,MISC,,,de,65
Ukraine-Krieg,Ukraine-Krieg,MISC,-0.3888888888888889,0.09259259259259259,de,61
DER SPIEGEL.,DER SPIEGEL.,MISC,,,de,56
deutscher,deutscher,MISC,,,de,54
Hamburger,Hamburger,MISC,,,de-DE,53
russischem,russischem,MISC,,,de,53
Zeit,Zeit,MISC,,,de,48
Liveticker:,Liveticker:,MISC,,,de,48
Ampel-Koalition,Ampel-Koalition,MISC,,,de,48
Millionen,Millionen,MISC,1.777777777777778,0.4888888888888889,de,47
Gaskrise,Gaskrise,MISC,-1.3916666666666666,0.9166666666666666,de-DE,44
Nord Stream 2,Nord Stream 2,MISC,-0.5333333333333333,0.2222222222222222,de,43
Liveticker: +++,Liveticker: +++,MISC,,,de,43
ePaper,ePaper,MISC,,,de,42
Weltklimakonferenz,Weltklimakonferenz,MISC,,,de,41
Tages,Tages,MISC,,,de,37
Ukrainer,Ukrainer,MISC,,,de,36
Gaspreisbremse.,Gaspreisbremse.,MISC,1.0,0.125,de,35
Deutschland.,Deutschland.,MISC,0.0417910447761194,0.04477611940298507,de,34
Gaspreisbremse,Gaspreisbremse,MISC,0.027542372881355928,0.0,de,34
französische,französische,MISC,,,de,34
soziale,soziale,MISC,,,de,34
Krieg,Krieg,MISC,,,de,32
LNG-Terminals,LNG-Terminals,MISC,0.3277777777777778,0.3333333333333333,de,32
französischen,französischen,MISC,,,de,31
Gas-Pipelines Nord Stream 1,Gas-Pipelines Nord Stream 1,MISC,,,de,31
Russen,Russen,MISC,-0.8812500000000001,0.375,de,30
Winter.,Winter.,MISC,0.8,0.0,,30
schwedischen,schwedischen,MISC,,,de,29
ägyptischen,ägyptischen,MISC,,,de,28
COP27,COP27,MISC,-3.45,0.0,de,27
Pandemie,Pandemie,MISC,,,de,26
chinesischen,chinesischen,MISC,,,de,26
britischen,britischen,MISC,,,en,24
Krieges,Krieges,MISC,,,de,24
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,23
deutsch-französische,deutsch-französische,MISC,,,de,23
Mehr im Liveticker.,Mehr im Liveticker.,MISC,,,de,21
schwedische,schwedische,MISC,,,de,21
sozialen,sozialen,MISC,,,de,21
Bundeskabinett,Bundeskabinett,MISC,,,de,21
RT DE.,RT DE.,MISC,,,de,19
Aldi,Aldi,MISC,0.38,0.1,de,19
Twitter,Twitter,MISC,,,de,19
Werbeerlösen,Werbeerlösen,MISC,,,de,18
Landtagswahl in Niedersachsen,Landtagswahl in Niedersachsen,MISC,,,de,18
polnische,polnische,MISC,,,de,18
Angriffskriegs,Angriffskriegs,MISC,,,de,18
Schweizer,Schweizer,MISC,,,de,18
Katars,Katars,MISC,1.7,1.0,de,17
Kriegs,Kriegs,MISC,,,de,17
CO2-Ausstoß,CO2-Ausstoß,MISC,,,de,17
Weltklimakonferenz COP27,Weltklimakonferenz COP27,MISC,,,de,17
Ukrainekrieg,Ukrainekrieg,MISC,-0.9,0.3333333333333333,de,17
Russische,Russische,MISC,,,de,17
Katar.,Katar.,MISC,0.4625,0.25,de,16
Weihnachten,Weihnachten,MISC,,,de,16
österreichische,österreichische,MISC,,,de,16
Nord Stream 1,Nord Stream 1,MISC,-0.4666666666666666,0.0,de,16
KOMMENTAR,KOMMENTAR,MISC,,,de,16
Wirtschaftsministerium,Wirtschaftsministerium,MISC,,,de,16
Fußball-WM,Fußball-WM,MISC,,,de,16
Berliner Senat,Berliner Senat,MISC,,,de,16
Informatio…,Informatio…,MISC,,,de,15
DAX,DAX,MISC,,,de,15
Münchner,Münchner,MISC,,,de,15
sächsische,sächsische,MISC,,,de,15
iranische,iranische,MISC,,,de,15
Skript,Skript,MISC,,,de,15
Internet,Internet,MISC,,,de,15
S…,S…,MISC,,,de,14
russischen Angriffskrieges,russischen Angriffskrieges,MISC,,,de,14
niederländisches,niederländisches,MISC,,,de,14
nächsten Jahr,nächsten Jahr,MISC,,,de,14
Weltklimakonferenz in,Weltklimakonferenz in,MISC,,,de,14
Ukraine-Krieges,Ukraine-Krieges,MISC,0.0875,0.0,de,14
italienischen,italienischen,MISC,,,de,14
